Timestamp, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20


1:42:00 PM,0x1da214,0x38aa1,0x29f,0x1cfb2c,0x2f86e,0x145e7,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0x5a96,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:02 PM,0x1dab33,0x38af1,0x29f,0x1d0439,0x2f8a6,0x14e24,0x9db0,0x30208000,0x0,0xf,0xc,0x17,0x17,0x639b,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:05 PM,0x1db456,0x38b50,0x29f,0x1d0d46,0x2f8d5,0x148a5,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0x6c92,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:07 PM,0x1dbd7a,0x38bb2,0x296,0x1d1654,0x2f91c,0x148a5,0x99f8,0x30208000,0x0,0xf,0xc,0x16,0x16,0x7580,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:10 PM,0x1dc698,0x38c28,0x29f,0x1d1f64,0x2f975,0x148a5,0xa168,0x30208000,0x0,0xf,0xc,0x16,0x16,0x7e70,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:12 PM,0x1dcfb5,0x38c74,0x29f,0x1d2869,0x2f9a4,0x148a5,0x99f8,0x30208000,0x0,0xf,0xc,0x16,0x16,0x8773,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:15 PM,0x1dd8da,0x38cb8,0x293,0x1d317d,0x2f9da,0x148a5,0x9288,0x30208000,0x0,0xf,0xc,0x16,0x16,0x9093,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:17 PM,0x1de1f9,0x38d13,0x296,0x1d3a8b,0x2fa12,0x14b69,0x9640,0x30208000,0x0,0xf,0xc,0x16,0x16,0x998d,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:20 PM,0x1deb1e,0x38d89,0x29f,0x1d439d,0x2fa70,0x148a5,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0xa27e,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:23 PM,0x1df441,0x38dcf,0x299,0x1d4cb9,0x2faa8,0x145e7,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0xab7b,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:25 PM,0x1dfd5c,0x38e18,0x29f,0x1d55c8,0x2fad7,0x14e24,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0xb475,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:28 PM,0x1e0680,0x38e8e,0x29f,0x1d5ed2,0x2fb30,0x14e24,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0xbd7e,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
1:42:30 PM,0x1e0f9e,0x38ef0,0x296,0x1d67dc,0x2fb71,0x148a5,0x9db0,0x30208000,0x0,0xf,0xc,0x16,0x16,0xc690,0x1c,0x0,0x0,0x0,0x0,0x0,0x0
